text,toxicity score
Yes. I can't believe he would do this knowing what I'm going through with the divorce!,0.00060785544
"Yeah, well, my big brother once hit me in the head with the claw end of a hammer.",0.6249324
"What a jerk! If I was there I could've helped you, since I'm in my second year of medical school.",0.9935202
"Ha-ha.  Yeah, no doubt.  I was just a kid and kind of indestructible.  We fought a lot.",0.0054893657
That's very unfortunate. I hope my two kids never fight that way. Are you on good terms with your brother now?,0.012913579
We are great friends now.  I don't get to see him so much since I'm on tour with my band.,0.00056929985
"I'm happy to hear that, I hope you get to seem him soon. Maybe he can come to see one of your shows.",0.0007525567
"Yeah, he's been to a few.  I was hoping we could do X-mas with the whole family.  Maybe next year.",0.00096883584
I don't know how Christmas is gonna go with my family this year either... it's hard to be divorced when there's two kids mixed in.,0.0008559949
"Divorce is the WORST.  I, too, am divorced.  Worst experience of my life.  I don't speak to my ex.",0.015579909
I'm sorry to hear that. It's very hard. I'm just ready to be done with the process.,0.00059312925
It will get better over time.  Focus on your kids if you can.  It's gotta be rough.  Oh and get another partner!,0.008776984
